Categoria;Producto;Precio;URL de la imagen;Fecha y hora;Página
limpieza/papeles;Papel Higiénico Campanita Hoja Simple 4 U;1450.0;https://jumboargentinaio.vtexassets.com/arquivos/ids/713698-500-auto?v=637951594060470000&width=500&height=auto&aspect=true;29/05/2024, 01:00:44;2
limpieza/papeles;Papel Higienico Family Care Simple Hoja 6x30m;2550.0;https://jumboargentinaio.vtexassets.com/arquivos/ids/636068-500-auto?v=637535808895100000&width=500&height=auto&aspect=true;29/05/2024, 01:00:44;2

limpieza/papeles;Papel Higienico Elite Hoja Simple Clásico C/algodon 12x30m;7100.0;https://jumboargentinaio.vtexassets.com/arquivos/ids/808237-500-auto?v=638417938966300000&width=500&height=auto&aspect=true;29/05/2024, 01:02:23;3
limpieza/papeles;Papel Higienico Elegante Simple Hoja 6x30m;3300.0;https://jumboargentinaio.vtexassets.com/arquivos/ids/809032-500-auto?v=638430898896930000&width=500&height=auto&aspect=true;29/05/2024, 01:02:23;3
limpieza/papeles;Pañuelos Elegante Triple Hoja 36x150 Un;1400.0;https://jumboargentinaio.vtexassets.com/arquivos/ids/809034-500-auto?v=638430898903800000&width=500&height=auto&aspect=true;29/05/2024, 01:02:23;3
limpieza/papeles;Servilleta Elite Gold Diseño - 35 U;1800.0;https://jumboargentinaio.vtexassets.com/arquivos/ids/482017-500-auto?v=636719754335000000&width=500&height=auto&aspect=true;29/05/2024, 01:02:23;3
limpieza/papeles;Pañuelos Descartables Elite Con Algodón X10 Packs De 10 Pañuelos/35;3400.0;https://jumboargentinaio.vtexassets.com/arquivos/ids/823036-500-auto?v=638508249664970000&width=500&height=auto&aspect=true;29/05/2024, 01:02:23;3
limpieza/papeles;Pañuelo Descartable Carilina Doble Hoja X6 Packs 10 Pañ;2000.0;https://jumboargentinaio.vtexassets.com/arquivos/ids/800553-500-auto?v=638355731150800000&width=500&height=auto&aspect=true;29/05/2024, 01:02:23;3
limpieza/papeles;Papel Higienico  Campanita Doble Hoja Ultra X 4 Unidades De 30 Metros Por Rollo- Bsa-30-m2 - Sin Atr;4600.0;https://jumboargentinaio.vtexassets.com/arquivos/ids/672740-500-auto?v=637707946065070000&width=500&height=auto&aspect=true;29/05/2024, 01:02:23;3
limpieza/papeles;Pañuelos Flowpack X50 Family Care;700.0;https://jumboargentinaio.vtexassets.com/arquivos/ids/792389-500-auto?v=638296329647100000&width=500&height=auto&aspect=true;29/05/2024, 01:02:23;3
limpieza/papeles;Pañuelos Pocket X6 Family Care;1250.0;https://jumboargentinaio.vtexassets.com/arquivos/ids/817412-500-auto?v=638479498982230000&width=500&height=auto&aspect=true;29/05/2024, 01:02:23;3
limpieza/papeles;Papel Higienico  Campanita Hoja Simple Plus X 4 Unidades De 30 Metros Por Rollo  - Bsa-120-m2 - Sin;2700.0;https://jumboargentinaio.vtexassets.com/arquivos/ids/617352-500-auto?v=637437282866800000&width=500&height=auto&aspect=true;29/05/2024, 01:02:23;3
limpieza/papeles;Papel Higienico  Campanita Xl Plus X  80   Hoja Simple  X 4 Unidades De 80 Metros Por Rollo- Paq-32-;5950.0;https://jumboargentinaio.vtexassets.com/arquivos/ids/544824-500-auto?v=637014360765570000&width=500&height=auto&aspect=true;29/05/2024, 01:02:23;3
limpieza/papeles;Rollo De Cocina  Campanita Clasico X 3 Unidades De 50 Paños Por Rollo - Bsa-150-un. - Sin Atributo;2700.0;https://jumboargentinaio.vtexassets.com/arquivos/ids/565190-500-auto?v=637123657006570000&width=500&height=auto&aspect=true;29/05/2024, 01:02:23;3
limpieza/papeles;Rollo De Cocina Campanita Ultra  X 3 Unidades De 60 Paños Por Rollo. - Bsa-180-un. - Sin Atributo;3050.0;https://jumboargentinaio.vtexassets.com/arquivos/ids/583520-500-auto?v=637238994227600000&width=500&height=auto&aspect=true;29/05/2024, 01:02:23;3
limpieza/papeles;Rollo De Cocina  Campanita Mini Mega  X 2 Rollo De 100 Paños Por Rollo - Paq-2-un. - Mini Mega;3300.0;https://jumboargentinaio.vtexassets.com/arquivos/ids/776562-500-auto?v=638169429912630000&width=500&height=auto&aspect=true;29/05/2024, 01:02:23;3
limpieza/papeles;Rollo De Cocina   Sol Mayor  X 3 Unidades De 50 Paños Por Rollo - Rll-50-m2 - Sin Atributo;2050.0;https://jumboargentinaio.vtexassets.com/arquivos/ids/753476-500-auto?v=638013694114230000&width=500&height=auto&aspect=true;29/05/2024, 01:02:23;3
limpieza/papeles;Pañuelos Box X75 Family Care;1100.0;https://jumboargentinaio.vtexassets.com/arquivos/ids/785437-500-auto?v=638224401913430000&width=500&height=auto&aspect=true;29/05/2024, 01:02:23;3
limpieza/papeles;Pañuelos Pocket Mini x6 Family Care;1100.0;https://jumboargentinaio.vtexassets.com/arquivos/ids/787585-500-auto?v=638242761724870000&width=500&height=auto&aspect=true;29/05/2024, 01:02:23;3
limpieza/papeles;Servilleta Home Care 80 Un;1400.0;https://jumboargentinaio.vtexassets.com/arquivos/ids/625971-500-auto?v=637533676862370000&width=500&height=auto&aspect=true;29/05/2024, 01:02:23;3
limpieza/papeles;Papel Higienico  Campanita Xxl  Hoja Simple  X 4 Unidades De 100 Metros Por Rollo - Paq-40-m2 - Sin;7300.0;https://jumboargentinaio.vtexassets.com/arquivos/ids/565191-500-auto?v=637123657067100000&width=500&height=auto&aspect=true;29/05/2024, 01:02:23;3
limpieza/papeles;Pañuelos Descartables Campanita Pocket 6 U;1700.0;https://jumboargentinaio.vtexassets.com/arquivos/ids/687264-500-auto?v=637795857657330000&width=500&height=auto&aspect=true;29/05/2024, 01:02:23;3

Electro/Cocinas-y-Hornos;Microondas Monofuncion Digital Bgh B120db9 20 L;216999.0;https://jumboargentinaio.vtexassets.com/arquivos/ids/816226-500-auto?v=638470644452900000&width=500&height=auto&aspect=true;29/05/2024, 01:04:17;1
Electro/Cocinas-y-Hornos;Microondas Atma Digital 20 Litros Color Negro;219845.0;https://jumboargentinaio.vtexassets.com/arquivos/ids/791540-500-auto?v=638288338281370000&width=500&height=auto&aspect=true;29/05/2024, 01:04:17;1
Electro/Cocinas-y-Hornos;Microondas Bgh B120m20  20 L;195569.0;https://jumboargentinaio.vtexassets.com/arquivos/ids/812596-500-auto?v=638440521151400000&width=500&height=auto&aspect=true;29/05/2024, 01:04:17;1
Electro/Cocinas-y-Hornos;Cocinas Electrolux 56dxq 56cm Inox Doble Horno;1118110.0;https://jumboargentinaio.vtexassets.com/arquivos/ids/812674-500-auto?v=638440521420030000&width=500&height=auto&aspect=true;29/05/2024, 01:04:17;1
Electro/Cocinas-y-Hornos;Microondas Bgh Digital B228ds20;319999.0;https://jumboargentinaio.vtexassets.com/arquivos/ids/812562-500-auto?v=638440521032370000&width=500&height=auto&aspect=true;29/05/2024, 01:04:17;1
Electro/Cocinas-y-Hornos;Microondas Bgh Digital B223ds20;286999.0;https://jumboargentinaio.vtexassets.com/arquivos/ids/812561-500-auto?v=638440521025130000&width=500&height=auto&aspect=true;29/05/2024, 01:04:17;1
Electro/Cocinas-y-Hornos;Anafe Electrico Whirlpool Akt8090l;1169999.0;https://jumboargentinaio.vtexassets.com/arquivos/ids/812558-500-auto?v=638440521012730000&width=500&height=auto&aspect=true;29/05/2024, 01:04:17;1
Electro/Cocinas-y-Hornos;Microondas Philco Mpd8620n Digital;201459.0;https://jumboargentinaio.vtexassets.com/arquivos/ids/800707-500-auto?v=638357565691870000&width=500&height=auto&aspect=true;29/05/2024, 01:04:17;1
Electro/Cocinas-y-Hornos;Microondas Atma Md1728gn Digital Con Grill 28l;294620.0;https://jumboargentinaio.vtexassets.com/arquivos/ids/812328-500-auto?v=638440520131800000&width=500&height=auto&aspect=true;29/05/2024, 01:04:17;1
Electro/Cocinas-y-Hornos;Microondas Digital Bgh B223dn20 23 L;273999.0;https://jumboargentinaio.vtexassets.com/arquivos/ids/812754-500-auto?v=638440521799970000&width=500&height=auto&aspect=true;29/05/2024, 01:04:17;1
Electro/Cocinas-y-Hornos;Cocina Orbis Macrovision 838bc4 Blanca;593999.0;https://jumboargentinaio.vtexassets.com/arquivos/ids/781508-500-auto?v=638197833783700000&width=500&height=auto&aspect=true;29/05/2024, 01:04:17;1
Electro/Cocinas-y-Hornos;Cocina Multigas Eslabon De Lujo Efm56nb Blanca;539999.1;https://jumboargentinaio.vtexassets.com/arquivos/ids/432516-500-auto?v=636513311912670000&width=500&height=auto&aspect=true;29/05/2024, 01:04:17;1
Electro/Cocinas-y-Hornos;Horno Samsung Eléctrico Nv7b5745tak Bpk;2099999.0;https://jumboargentinaio.vtexassets.com/arquivos/ids/822088-500-auto?v=638508228115670000&width=500&height=auto&aspect=true;29/05/2024, 01:04:17;1
Electro/Cocinas-y-Hornos;Horno Samsung Eléctrico Nv7b4040vas Inoxidable;1469999.0;https://jumboargentinaio.vtexassets.com/arquivos/ids/822643-500-auto?v=638508240980400000&width=500&height=auto&aspect=true;29/05/2024, 01:04:17;1
Electro/Cocinas-y-Hornos;Microondas Samsung 30l Blanco;641499.0;https://jumboargentinaio.vtexassets.com/arquivos/ids/822644-500-auto?v=638508240983200000&width=500&height=auto&aspect=true;29/05/2024, 01:04:17;1
