Supermercado;Categoria;Producto;Precio;URL;Fecha
JUM;bebidas;Agua Sin Gas Villavicencio 1,5 L;$1.391;https://jumboargentinaio.vtexassets.com/arquivos/ids/795825-500-auto?v=638313501958270000&width=500&height=auto&aspect=true;12/05/2024, 23:27:15
JUM;bebidas;Agua Sin Gas Villavicencio 1,5 L;$904,15;https://jumboargentinaio.vtexassets.com/arquivos/ids/795825-500-auto?v=638313501958270000&width=500&height=auto&aspect=true;12/05/2024, 23:27:23
JUM;bebidas;Agua Sin Gas Villavicencio 1,5 L;$NaN;https://jumboargentinaio.vtexassets.com/arquivos/ids/795825-500-auto?v=638313501958270000&width=500&height=auto&aspect=true;12/05/2024, 23:28:09
JUM;hogar-y-textil;Reposera Metal Curva Cañoblanc Textbeige Outze;$35.950;https://jumboargentinaio.vtexassets.com/arquivos/ids/670280-500-auto?v=637692179138800000&width=500&height=auto&aspect=true;12/05/2024, 23:32:44
JUM;hogar-y-textil;Reposera Metal Curva Cañoblanc Textbeige Outze;$71.900;https://jumboargentinaio.vtexassets.com/arquivos/ids/670280-500-auto?v=637692179138800000&width=500&height=auto&aspect=true;12/05/2024, 23:34:20
JUM;hogar-y-textil;Reposera Metal Curva Cañoblanc Textbeige Outze;$NaN;https://jumboargentinaio.vtexassets.com/arquivos/ids/670280-500-auto?v=637692179138800000&width=500&height=auto&aspect=true;12/05/2024, 23:40:48
JUM;hogar-y-textil;Pergola Hierro Outzen 3x3 M;$243.600;https://jumboargentinaio.vtexassets.com/arquivos/ids/670226-500-auto?v=637692178972830000&width=500&height=auto&aspect=true;12/05/2024, 23:32:44
JUM;hogar-y-textil;Pergola Hierro Outzen 3x3 M;$487.200;https://jumboargentinaio.vtexassets.com/arquivos/ids/670226-500-auto?v=637692178972830000&width=500&height=auto&aspect=true;12/05/2024, 23:34:20
JUM;hogar-y-textil;Pergola Hierro Outzen 3x3 M;$NaN;https://jumboargentinaio.vtexassets.com/arquivos/ids/670226-500-auto?v=637692178972830000&width=500&height=auto&aspect=true;12/05/2024, 23:40:48
JUM;hogar-y-textil;Almohada Suavestar Viscoelastica Clasica 62x40;$43.990;https://jumboargentinaio.vtexassets.com/arquivos/ids/812728-500-auto?v=638440521608670000&width=500&height=auto&aspect=true;12/05/2024, 23:32:44
JUM;hogar-y-textil;Almohada Suavestar Viscoelastica Clasica 62x40;$NaN;https://jumboargentinaio.vtexassets.com/arquivos/ids/812728-500-auto?v=638440521608670000&width=500&height=auto&aspect=true;12/05/2024, 23:40:48
JUM;hogar-y-textil;Film Adherente Home Care 20 Mts X 28 Cm;$1.455;https://jumboargentinaio.vtexassets.com/arquivos/ids/676790-500-auto?v=637728576070130000&width=500&height=auto&aspect=true;12/05/2024, 23:32:44
JUM;hogar-y-textil;Film Adherente Home Care 20 Mts X 28 Cm;$NaN;https://jumboargentinaio.vtexassets.com/arquivos/ids/676790-500-auto?v=637728576070130000&width=500&height=auto&aspect=true;12/05/2024, 23:40:48
JUM;hogar-y-textil;Silla Alta Acero Sannet - Azul.;$27.230;https://jumboargentinaio.vtexassets.com/arquivos/ids/548192-500-auto?v=637043732671170000&width=500&height=auto&aspect=true;12/05/2024, 23:32:44
JUM;hogar-y-textil;Silla Alta Acero Sannet - Azul.;$54.460;https://jumboargentinaio.vtexassets.com/arquivos/ids/548192-500-auto?v=637043732671170000&width=500&height=auto&aspect=true;12/05/2024, 23:34:20
JUM;hogar-y-textil;Silla Alta Acero Sannet - Azul.;$NaN;https://jumboargentinaio.vtexassets.com/arquivos/ids/548192-500-auto?v=637043732671170000&width=500&height=auto&aspect=true;12/05/2024, 23:40:48
JUM;hogar-y-textil;Silla Mor Alta Acero Vs Colores Rayas 2002;$25.130;https://jumboargentinaio.vtexassets.com/arquivos/ids/809160-500-auto?v=638435433714900000&width=500&height=auto&aspect=true;12/05/2024, 23:32:44
JUM;hogar-y-textil;Silla Mor Alta Acero Vs Colores Rayas 2002;$50.260;https://jumboargentinaio.vtexassets.com/arquivos/ids/809160-500-auto?v=638435433714900000&width=500&height=auto&aspect=true;12/05/2024, 23:34:20
JUM;hogar-y-textil;Silla Mor Alta Acero Vs Colores Rayas 2002;$NaN;https://jumboargentinaio.vtexassets.com/arquivos/ids/809160-500-auto?v=638435433714900000&width=500&height=auto&aspect=true;12/05/2024, 23:40:48
JUM;hogar-y-textil;Silla Reclinable 8 Pos. Acero Sannet - B.;$36.330;https://jumboargentinaio.vtexassets.com/arquivos/ids/548545-500-auto?v=637045032556400000&width=500&height=auto&aspect=true;12/05/2024, 23:32:44
JUM;hogar-y-textil;Silla Reclinable 8 Pos. Acero Sannet - B.;$72.660;https://jumboargentinaio.vtexassets.com/arquivos/ids/548545-500-auto?v=637045032556400000&width=500&height=auto&aspect=true;12/05/2024, 23:34:20
JUM;hogar-y-textil;Silla Reclinable 8 Pos. Acero Sannet - B.;$NaN;https://jumboargentinaio.vtexassets.com/arquivos/ids/548545-500-auto?v=637045032556400000&width=500&height=auto&aspect=true;12/05/2024, 23:40:48
JUM;hogar-y-textil;Silla Colgante Outzen Simil Ratan;$404.500;https://jumboargentinaio.vtexassets.com/arquivos/ids/670235-500-auto?v=637692179004970000&width=500&height=auto&aspect=true;12/05/2024, 23:32:44
JUM;hogar-y-textil;Silla Colgante Outzen Simil Ratan;$809.000;https://jumboargentinaio.vtexassets.com/arquivos/ids/670235-500-auto?v=637692179004970000&width=500&height=auto&aspect=true;12/05/2024, 23:34:20
JUM;hogar-y-textil;Silla Colgante Outzen Simil Ratan;$NaN;https://jumboargentinaio.vtexassets.com/arquivos/ids/670235-500-auto?v=637692179004970000&width=500&height=auto&aspect=true;12/05/2024, 23:40:48
JUM;frutas-y-verduras;Banana Ecuador Por Kg;$1.499;https://jumboargentinaio.vtexassets.com/arquivos/ids/790316-500-auto?v=638272137671900000&width=500&height=auto&aspect=true;12/05/2024, 23:42:25
JUM;frutas-y-verduras;Banana Ecuador Por Kg;$NaN;https://jumboargentinaio.vtexassets.com/arquivos/ids/790316-500-auto?v=638272137671900000&width=500&height=auto&aspect=true;12/05/2024, 23:43:17
JUM;frutas-y-verduras;Palta Hass Elegida Unidad;$699;https://jumboargentinaio.vtexassets.com/arquivos/ids/763476-500-auto?v=638080005645570000&width=500&height=auto&aspect=true;12/05/2024, 23:42:25
JUM;frutas-y-verduras;Palta Hass Elegida Unidad;$NaN;https://jumboargentinaio.vtexassets.com/arquivos/ids/763476-500-auto?v=638080005645570000&width=500&height=auto&aspect=true;12/05/2024, 23:43:17
JUM;frutas-y-verduras;Almendras Peladas Sueltas X Kg;$11.999;https://jumboargentinaio.vtexassets.com/arquivos/ids/773178-500-auto?v=638138865872070000&width=500&height=auto&aspect=true;12/05/2024, 23:42:25
JUM;frutas-y-verduras;Almendras Peladas Sueltas X Kg;$8.999,25;https://jumboargentinaio.vtexassets.com/arquivos/ids/773178-500-auto?v=638138865872070000&width=500&height=auto&aspect=true;12/05/2024, 23:42:59
JUM;frutas-y-verduras;Almendras Peladas Sueltas X Kg;$NaN;https://jumboargentinaio.vtexassets.com/arquivos/ids/773178-500-auto?v=638138865872070000&width=500&height=auto&aspect=true;12/05/2024, 23:43:17
JUM;frutas-y-verduras;Cebolla Superior Por Kg;$1.699;https://jumboargentinaio.vtexassets.com/arquivos/ids/698610-500-auto?v=637871997724330000&width=500&height=auto&aspect=true;12/05/2024, 23:42:25
JUM;frutas-y-verduras;Cebolla Superior Por Kg;$NaN;https://jumboargentinaio.vtexassets.com/arquivos/ids/698610-500-auto?v=637871997724330000&width=500&height=auto&aspect=true;12/05/2024, 23:43:17
JUM;frutas-y-verduras;Tomate Redondo Grande Por Kg;$4.999;https://jumboargentinaio.vtexassets.com/arquivos/ids/339429-500-auto?v=636393043636870000&width=500&height=auto&aspect=true;12/05/2024, 23:42:25
JUM;frutas-y-verduras;Tomate Redondo Grande Por Kg;$NaN;https://jumboargentinaio.vtexassets.com/arquivos/ids/339429-500-auto?v=636393043636870000&width=500&height=auto&aspect=true;12/05/2024, 23:43:17
JUM;frutas-y-verduras;Nueces Mariposa Sin Cascara Por Kg;$14.999;https://jumboargentinaio.vtexassets.com/arquivos/ids/773176-500-auto?v=638138865867030000&width=500&height=auto&aspect=true;12/05/2024, 23:42:25
JUM;frutas-y-verduras;Nueces Mariposa Sin Cascara Por Kg;$11.249,25;https://jumboargentinaio.vtexassets.com/arquivos/ids/773176-500-auto?v=638138865867030000&width=500&height=auto&aspect=true;12/05/2024, 23:42:59
JUM;frutas-y-verduras;Nueces Mariposa Sin Cascara Por Kg;$NaN;https://jumboargentinaio.vtexassets.com/arquivos/ids/773176-500-auto?v=638138865867030000&width=500&height=auto&aspect=true;12/05/2024, 23:43:17
JUM;frutas-y-verduras;Tomate Cherry Por Kg;$7.499;https://jumboargentinaio.vtexassets.com/arquivos/ids/472988-500-auto?v=636695568779700000&width=500&height=auto&aspect=true;12/05/2024, 23:42:25
JUM;frutas-y-verduras;Tomate Cherry Por Kg;$NaN;https://jumboargentinaio.vtexassets.com/arquivos/ids/472988-500-auto?v=636695568779700000&width=500&height=auto&aspect=true;12/05/2024, 23:43:17
JUM;frutas-y-verduras;Pimiento Rojo Por Kg;$6.499;https://jumboargentinaio.vtexassets.com/arquivos/ids/339349-500-auto?v=636393041930400000&width=500&height=auto&aspect=true;12/05/2024, 23:42:25
JUM;frutas-y-verduras;Pimiento Rojo Por Kg;$4.874,25;https://jumboargentinaio.vtexassets.com/arquivos/ids/339349-500-auto?v=636393041930400000&width=500&height=auto&aspect=true;12/05/2024, 23:42:59
JUM;frutas-y-verduras;Pimiento Rojo Por Kg;$NaN;https://jumboargentinaio.vtexassets.com/arquivos/ids/339349-500-auto?v=636393041930400000&width=500&height=auto&aspect=true;12/05/2024, 23:43:17
JUM;carnes;Suprema De Pollo Granel Fresca;$5.299;https://jumboargentinaio.vtexassets.com/arquivos/ids/790321-500-auto?v=638272137690000000&width=500&height=auto&aspect=true;12/05/2024, 23:43:50
JUM;carnes;Suprema De Pollo Granel Congelada.;$5.299;https://jumboargentinaio.vtexassets.com/arquivos/ids/672121-500-auto?v=637703409880230000&width=500&height=auto&aspect=true;12/05/2024, 23:43:50
JUM;carnes;Cuarto Trasero De Pollo Granel Fresco;$2.729;https://jumboargentinaio.vtexassets.com/arquivos/ids/672122-500-auto?v=637703409896500000&width=500&height=auto&aspect=true;12/05/2024, 23:43:50
JUM;carnes;Carre De Cerdo Con Hueso Fresco;$3.479,25;https://jumboargentinaio.vtexassets.com/arquivos/ids/720670-500-auto?v=637992957932800000&width=500&height=auto&aspect=true;12/05/2024, 23:43:50
JUM;carnes;Carre De Cerdo Con Hueso Fresco;$4.639;https://jumboargentinaio.vtexassets.com/arquivos/ids/720670-500-auto?v=637992957932800000&width=500&height=auto&aspect=true;12/05/2024, 23:44:15
JUM;carnes;Carne Vacuna Picada Enfriada E;$4.999;https://jumboargentinaio.vtexassets.com/arquivos/ids/672125-500-auto?v=637703409949200000&width=500&height=auto&aspect=true;12/05/2024, 23:43:50
JUM;carnes;Carne Vacuna Picada Enfriada C;$3.299;https://jumboargentinaio.vtexassets.com/arquivos/ids/709504-500-auto?v=637926430006270000&width=500&height=auto&aspect=true;12/05/2024, 23:43:50
JUM;carnes;Milanesa Nalga;$7.499;https://jumboargentinaio.vtexassets.com/arquivos/ids/676761-500-auto?v=637728575944500000&width=500&height=auto&aspect=true;12/05/2024, 23:43:50
JUM;carnes;Pechito De Cerdo Fresco;$3.738,75;https://jumboargentinaio.vtexassets.com/arquivos/ids/720669-500-auto?v=637992957929600000&width=500&height=auto&aspect=true;12/05/2024, 23:43:50
JUM;carnes;Pechito De Cerdo Fresco;$4.985;https://jumboargentinaio.vtexassets.com/arquivos/ids/720669-500-auto?v=637992957929600000&width=500&height=auto&aspect=true;12/05/2024, 23:44:15
JUM;Quesos y Fiambres;Queso Cremoso La Paulina 1/4 Hma - Mínimo 1 Kg Mayorista.;$5.759,2;https://jumboargentinaio.vtexassets.com/arquivos/ids/594326-500-auto?v=637305532902770000&width=500&height=auto&aspect=true;12/05/2024, 23:45:00
JUM;Quesos y Fiambres;Queso Cremoso La Paulina 1/4 Hma - Mínimo 1 Kg Mayorista.;$7.199;https://jumboargentinaio.vtexassets.com/arquivos/ids/594326-500-auto?v=637305532902770000&width=500&height=auto&aspect=true;12/05/2024, 23:46:08
