Categoria;Fecha_hora;Producto;Precio;URL de la imagen
almacen;09/05/2024, 12:46:22;Caldo de Carne con Vegetales Knorr x 114 g.;$ 1.352,00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000027000/27507.jpg
almacen;09/05/2024, 12:46:22;Leche en Polvo Nutrifuerza La Lechera x 400 g.;$8450.00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000024000/24081.jpg
almacen;09/05/2024, 12:46:22;Leche en Polvo Etapa 3 Forti protectus Lata Nido x 800 g.;$ 4.930,00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000025000/25641.jpg
almacen;09/05/2024, 12:46:22;Nesquik Original Cacao en Polvo Menos azúcar x 300 g.;$ 3.697,50;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000022000/22954.jpg
almacen;09/05/2024, 12:46:22;Café Instantáneo Suave  La Virginia x 170 g.;$2.750,00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000016000/16593.jpg
almacen;09/05/2024, 12:46:22;Te en Saquitos Limón Miel Jengibre Taragüi x 20 Un.;$ 2.500,00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000021000/21856.jpg
almacen;09/05/2024, 12:46:22;Café Instantáneo Tradicional Cappuccino Dp La Virginia x 125 g.;$4700.00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000017000/17510.jpg
almacen;09/05/2024, 12:46:22;Chocolate con Maní Cofler Block x 16 g.;$ 3.520,00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000014000/14767.jpg
almacen;09/05/2024, 12:46:22;Mayonesa Clasica Doy Pack Hellmanns x 950 g.;$ 2.992,00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000018000/18099.jpg
almacen;09/05/2024, 12:46:22;Copos de Maíz Azucarados Skarchitos x 500 g.;$5.900,00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000001000/1315.jpg
almacen;09/05/2024, 12:46:22;Yerba Mate c/Palo Barbacuá La Merced x 500 g.;$ 4.500,00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000013000/13154.jpg
almacen;09/05/2024, 12:46:22;Papas Fritas Clásicas Pehuamar x 135 g.;$ 3.600,00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000024000/24663.jpg
almacen;09/05/2024, 12:46:22;Mermelada de Frutilla Mas Fruta Arcor x 454 g.;$1.600,00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000015000/15724.jpg
almacen;09/05/2024, 12:46:22;Café Instantáneo Suave Nescafé Dolca x 100g.;$ 1.500,00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000025000/25865.jpg
almacen;09/05/2024, 12:46:22;Leche en Polvo Fortigrow Realidad Aumentada Nido  x  750 g.;$ 1.200,00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000027000/27717.jpg
almacen;09/05/2024, 12:46:22;Chocolate c/Leche y Maní Blockazo Cofler Block x 1 Kg.;$2750.00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000012000/12628.jpg
almacen;09/05/2024, 12:46:22;Aceite de Girasol Plus Cocinero x 1,5 Lt.;$ 1.900,00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000013000/13048.jpg
almacen;09/05/2024, 12:46:22;Galletitas con Chips Chocolate 9 de Oro x 180 g.;$ 1.520,00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000025000/25630.jpg
almacen;09/05/2024, 12:46:22;Fideos Lucchetti Moños x 500 g.;$1.700,00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000003000/3387.jpg
almacen;09/05/2024, 12:46:22;Aderezo a Base de Aceite con Ajo Hellmanns Pet x 340 g.;$ 1.550,00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000020000/20801.jpg
almacen;09/05/2024, 12:46:22;Papas Fritas Sabor Jamón Serrano Lays x 77 g.;$1650.00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000024000/24655.jpg
almacen;09/05/2024, 12:46:22;Te en Saquitos Limón La Virginia x 20 Un.;$ 1.480,00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000019000/19294.jpg
almacen;09/05/2024, 12:46:22;Alimento en Polvo a Base de Cacao Nescao x 150 g.;$ 962,00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000019000/19655.jpg
almacen;09/05/2024, 12:46:22;Porotos Secos Remojados Best x 300 g.;$2.300,00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000001000/1261.jpg
almacen;09/05/2024, 12:46:22;Arroz Grano Largo Fino Lucchetti x 1000 g.;$ 1.599,00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000025000/25354.jpg
almacen;09/05/2024, 12:46:22;Café Instantáneo Original Nescafé Dolca x 100g.;$2450.00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000025000/25869.jpg
almacen;09/05/2024, 12:46:22;Café Instantáneo Original Nescafé Dolca x 170g.;$ 2.100,00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000025000/25870.jpg
almacen;09/05/2024, 12:46:22;Arroz Parboilizado Bolsa Lucchetti x 500 g.;$ 1.260,00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000025000/25370.jpg
almacen;09/05/2024, 12:46:22;Yerba Mate con palo  Hierbas Buenas Y Santas x 500 g.;$1050.00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000022000/22815.jpg
almacen;09/05/2024, 12:46:22;Chocolate Yogurt de Frutilla Cadbury x 29g;$ 947,00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000014000/14634.jpg
almacen;09/05/2024, 12:46:22;Aderezo a Base de Aceite con Ajo Hellmanns Doy Pack x 250 g.;$700.00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000020000/20799.jpg
almacen;09/05/2024, 12:46:22;Gelatina en Polvo Frutilla Royal x 25 g.;$ 499,00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000021000/21645.jpg
almacen;09/05/2024, 12:46:22;Alfajor Chocolate Milka con Dulce de Leche Triple x 70 g.;$1850.00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000004000/4014.jpg
almacen;09/05/2024, 12:46:22;Polvo Chocolatado Nescao x 300 g.;$ 1.130,00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000012000/12795.jpg
almacen;09/05/2024, 12:46:22;Chocolate con Leche Vizzio x 50 g.;$ 847,50;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000022000/22809.jpg
almacen;09/05/2024, 12:46:22;Papas Fritas sabor Original Pringles x 104 g.;$1.500,00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000026000/26140.jpg
almacen;09/05/2024, 12:46:22;Galletas Avena con Yogur Frutilla 9 de Oro x 180 g.;$ 1.409,00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000025000/25632.jpg
almacen;09/05/2024, 12:46:22;Tubos De Maíz Sabor Queso 3D x 143 g.;$2.100,00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000020000/20014.jpg
almacen;09/05/2024, 12:46:22;Vainillas x 3 Un. Valente x 444 g.;$ 1.360,00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000022000/22584.jpg
almacen;09/05/2024, 12:46:22;Chocolate con leche Milka x 20 g.;$5500.00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000001000/1387.jpg
almacen;09/05/2024, 12:46:22;Yerba Mate c/Palo Suave Piporé x 1 Kg.;$ 4.500,00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000013000/13232.jpg
almacen;09/05/2024, 12:46:22;Salsa Pizza Knorr x 340 g.;$ 3.600,00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000025000/25540.jpg
almacen;09/05/2024, 12:46:22;Caramelos Menthoplus Miel x 20 g.;$2.100,00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000001000/1540.jpg
almacen;09/05/2024, 12:46:22;Café Instantáneo Suave Nescafé Dolca x 170g.;$ 1.360,00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000025000/25866.jpg
almacen;09/05/2024, 12:46:22;Chocolate con Leche y Maní Shot x 90 g.;$3.750,00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000004000/4367.jpg
almacen;09/05/2024, 12:46:22;Alfajor Chocolate Triple Terrabusi x 70 g.;$ 2.290,00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000002000/2588.jpg
almacen;09/05/2024, 12:46:22;Alimento en Polvo a Base de Cacao Extra Toddy x 800 g.;$1.150,00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000018000/18990.jpg
almacen;09/05/2024, 12:46:22;Pure de Papa Tradicional Doy Pack Mama Cocina x 100 g.;$ 850,00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000025000/25397.jpg
