Supermercado;Producto;NombreNormalizado;Precio;URL de la imagen
Carrefour;Ajíes en vinagre x kg.;Ajíes;3999.0;https://carrefourar.vtexassets.com/arquivos/ids/201751-170-170?v=637558429822970000&width=170&height=170&aspect=true
LaAnonima;Zapallo Anco (Kg);Zapallo;800.0;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000000060/60.jpg
LaAnonima;Limón (Kg);Limón;1100.0;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000002000/2395.jpg
LaAnonima;Zapallo Ingles (Kg);Zapallo;890.0;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000000070/70.jpg
LaAnonima;Papa Bolsita Elegida (Kg);Papa;1600.0;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000003000/3306.jpg
LaAnonima;Zapallo Criollo (Kg);Zapallo;890.0;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000003000/3310.jpg
LaAnonima;Repollo Blanco (Kg);Repollo;1850.0;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000002000/2387.jpg
LaAnonima;Remolacha S/Hoja (Kg);Remolacha;3400.0;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000002000/2386.jpg
LaAnonima;Sandía (Kg);Sandía;3350.0;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000000060/67.jpg
LaAnonima;Repollo Colorado (Kg);Repollo;2200.0;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000002000/2389.jpg
LaAnonima;Albahaca x unidad;Albahaca;1900.0;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000003000/3315.jpg
LaAnonima;Ajo Granel (Kg);Ajo;10300.0;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000003000/3300.jpg
LaAnonima;Ajo En Bolsita (Kg);Ajo;10950.0;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000000050/55.jpg
LaAnonima;Soja (Kg);Soja;4700.0;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000007000/7133.jpg
LaAnonima;Damascos Desecados Conosur x 200 g.;Damascos;10600.0;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000026000/26866.jpg
LaAnonima;Higos Desecados Conosur x 200 g.;Higos;7850.0;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000026000/26867.jpg
LaAnonima;Banana Ecuador (Kg);Banana;1990.0;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000002000/2393.jpg
LaAnonima;Cebolla (Kg);Cebolla;1624.0;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000000050/56.jpg
LaAnonima;Mandarina (Kg);Mandarina;1890.0;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000002000/2396.jpg
LaAnonima;Zanahoria (Kg);Zanahoria;1290.0;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000002000/2391.jpg
LaAnonima;Manzana Red Bolsita (Kg);Manzana;1590.0;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000003000/3111.jpg
LaAnonima;Pera (Kg);Pera;1699.0;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000002000/2404.jpg
LaAnonima;Naranja (Kg);Naranja;269000.0;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000002000/2401.jpg
LaAnonima;Tomate Redondo (Kg);Tomate;5690.0;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000002000/2390.jpg
LaAnonima;Palta (Kg);Palta;999000.0;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000002000/2403.jpg
LaAnonima;Zapallito Redondo (Kg);Zapallito;3690.0;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000002000/2392.jpg
LaAnonima;Papa Comercial Bolsita (Kg);Papa;1099.0;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000000050/59.jpg
LaAnonima;Batata (Kg);Batata;1290.0;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000002000/2375.jpg
LaAnonima;Manzana Red Elegida (Kg);Manzana;2990.0;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000002000/2399.jpg
LaAnonima;Rúcula Envasada x 70 gr;Rúcula;1590.0;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000000000/138.jpg
LaAnonima;Zanahoria Comercial Bolsita (Kg);Zanahoria;999.0;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000003000/3114.jpg
LaAnonima;Batata Boniato (Kg);Batata;1590.0;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000003000/3303.jpg
LaAnonima;Berenjena (Kg);Berenjena;1690.0;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000002000/2376.jpg
LaAnonima;Acelga Envasada x 500 gr;Acelga;274900.0;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000001000/1561.jpg
LaAnonima;Espinaca Envasada X Unidad x 400 gr;Espinaca;2890.0;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000001000/1564.jpg
LaAnonima;Zapallo Anco Comercial Bolsita (Kg);Zapallo;569.0;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000000000/149.jpg
LaAnonima;Choclo sin chala Envasado x 530 gr;Choclo;4390.0;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000001000/1458.jpg
LaAnonima;Girasol Tostado Salado x 200 gr;Girasol;899.0;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000003000/3037.jpg
LaAnonima;Lechuga Hidropónica x unidad;Lechuga;1790.0;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000000000/536.jpg
LaAnonima;Pomelo (Kg);Pomelo;2290.0;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000002000/2405.jpg
LaAnonima;Morrón Colorado (Kg);Morrón;6990.0;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000002000/2372.jpg
LaAnonima;Morrón Verde (Kg);Morrón;4990.0;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000002000/2373.jpg
LaAnonima;Kiwi (Kg);Kiwi;799900.0;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000002000/2407.jpg
LaAnonima;Zapallito Largo (Kg);Zapallito;3690.0;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000003000/3309.jpg
LaAnonima;Manzana Grany Elegida (Kg);Manzana;2990.0;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000002000/2398.jpg
LaAnonima;Uvas (Kg);Uvas;3990.0;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000002000/2406.jpg
LaAnonima;Pepino (Kg);Pepino;2990.0;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000002000/2384.jpg
LaAnonima;Lechuga Capuchina Envasada x 350 gr;Lechuga;2990.0;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000001000/1562.jpg
LaAnonima;Champignon Portobello Bandeja x 200 gr;Champignon;2590.0;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000003000/3322.jpg
LaAnonima;Manzana Grany Comercial Bolsita (Kg);Manzana;1990.0;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000026000/26827.jpg
LaAnonima;Cebolla Roja (Kg);Cebolla;2290.0;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000003000/3302.jpg
LaAnonima;Champignon Bandeja x 200 gr;Champignon;2590.0;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000003000/3321.jpg
LaAnonima;Melón (Kg);Melón;1990.0;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000002000/2400.jpg
LaAnonima;Perejil Envasado x 100 gr;Perejil;1490.0;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000000000/139.jpg
LaAnonima;Lechuga Francesa Envasada x 250 gr;Lechuga;3990.0;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000003000/3331.jpg
LaAnonima;Rabanito Envasado x 200 gr;Rabanito;1490.0;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000003000/3319.jpg
LaAnonima;Lechuga Mantecosa Envasada x 200 gr;Lechuga;3990.0;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000003000/3332.jpg
LaAnonima;Maní Tostado Con Cascara (Kg);Maní;4990.0;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000000070/73.jpg
LaAnonima;Coliflor (Kg);Coliflor;3990.0;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000002000/2381.jpg
LaAnonima;Piña (Kg);Piña;249000.0;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000002000/2599.jpg
LaAnonima;Espinaca Baby Hojas Verdes y Rojas Rie La Huerta x 150 g.;Espinaca;3290.0;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000026000/26893.jpg
LaAnonima;Perejil X Atado x 1 Un.;Perejil;1490.0;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000026000/26855.jpg
LaAnonima;Brócoli (Kg);Brócoli;4690.0;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000002000/2377.jpg
LaAnonima;Ensalada Lechugas y Cherry Rie Rie La Huerta x 200 g.;Ensalada;3290.0;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000026000/26871.jpg
LaAnonima;Cilantro Envasado x 70 gr;Cilantro;1690.0;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000003000/3317.jpg
LaAnonima;Zanahoria Baby envasada x 250 gr;Zanahoria;2490.0;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000003000/3320.jpg
LaAnonima;Quinoa El Peoncito x 175 g.;Quinoa;3050.0;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000011000/11332.jpg
LaAnonima;Ensalada Coleslaw x 250 g.;Ensalada;2290.0;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000026000/26856.jpg
LaAnonima;Cebolla Blanca (Kg);Cebolla;2290.0;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000003000/3312.jpg
LaAnonima;Jengibre (Kg);Jengibre;6990.0;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000003000/3290.jpg
LaAnonima;Nueces Peladas Pote Conosur x 100 g.;Nueces;3500.0;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000008000/8752.jpg
LaAnonima;Tomates Secos El Peoncito x 100 g.;Tomates;3000.0;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000011000/11326.jpg
LaAnonima;Nueces Peladas Mariposa El Peoncito x 200 g.;Nueces;6650.0;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000006000/6639.jpg
LaAnonima;Radicheta Envasada x 70 gr;Radicheta;1690.0;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000003000/3318.jpg
LaAnonima;Mix Araucano El Peoncito x 250 g.;Mix;4100.0;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000006000/6647.jpg
LaAnonima;Pasas de Uva Sultanina Rubias El Peoncito x 100 g.;Pasas;1850.0;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000006000/6903.jpg
LaAnonima;Morrón Variedades (Kg);Morrón;6990.0;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000003000/3299.jpg
LaAnonima;Plátano (Kg);Plátano;3290.0;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000003000/3316.jpg
LaAnonima;Pasas de Uva Sultanina Negras El Peoncito x 100 g.;Pasas;960.0;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000002000/2089.jpg
