Producto;URL
Zanahoria (Kg);https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000002000/2391.jpg
Mandarina (Kg);https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000002000/2396.jpg
Manzana Red Bolsita (Kg);https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000003000/3111.jpg
Zapallito Redondo (Kg);https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000002000/2392.jpg
Pera (Kg);https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000002000/2404.jpg
Limón (Kg);https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000002000/2395.jpg
Naranja (Kg);https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000002000/2401.jpg
Zapallo Ingles (Kg);https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000000070/70.jpg
Tomate Redondo (Kg);https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000002000/2390.jpg
Batata (Kg);https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000002000/2375.jpg
Zanahoria Comercial Bolsita (Kg);https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000003000/3114.jpg
Manzana Red Elegida (Kg);https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000002000/2399.jpg
Berenjena (Kg);https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000002000/2376.jpg
Batata Boniato (Kg);https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000003000/3303.jpg
Rúcula Envasada x 70 gr;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000000000/138.jpg
Papa Bolsita Elegida (Kg);https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000003000/3306.jpg
Choclo sin chala Envasado x 530 gr;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000001000/1458.jpg
Lechuga Hidropónica x unidad;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000000000/536.jpg
Acelga Envasada x 500 gr;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000001000/1561.jpg
Papa Comercial Bolsita (Kg);https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000000050/59.jpg
Zapallo Anco Comercial Bolsita (Kg);https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000000000/149.jpg
Morrón Colorado (Kg);https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000002000/2372.jpg
Uvas (Kg);https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000002000/2406.jpg
Manzana Grany Elegida (Kg);https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000002000/2398.jpg
Lechuga Francesa Envasada x 250 gr;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000003000/3331.jpg
Lechuga Capuchina Envasada x 350 gr;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000001000/1562.jpg
Champignon Portobello Bandeja x 200 gr;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000003000/3322.jpg
Espinaca Envasada X Unidad x 400 gr;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000001000/1564.jpg
Kiwi (Kg);https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000002000/2407.jpg
Champignon Bandeja x 200 gr;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000003000/3321.jpg
Morrón Verde (Kg);https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000002000/2373.jpg
Lechuga Mantecosa Envasada x 200 gr;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000003000/3332.jpg
Pepino (Kg);https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000002000/2384.jpg
Girasol Tostado sin Sal x 200 gr;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000003000/3325.jpg
Girasol Tostado Salado x 200 gr;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000003000/3037.jpg
Cebolla Roja (Kg);https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000003000/3302.jpg
Zapallito Largo (Kg);https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000003000/3309.jpg
Perejil Envasado x 100 gr;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000000000/139.jpg
Melón (Kg);https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000002000/2400.jpg
Manzana Grany Comercial Bolsita (Kg);https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000026000/26827.jpg
Brócoli (Kg);https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000002000/2377.jpg
Maní Tostado Con Cascara (Kg);https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000000070/73.jpg
Ensalada Coleslaw x 250 g.;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000026000/26856.jpg
